pmcid,pmid,doi,title,journal,publication_year,license,count,females_count,males_count,n_groups,healthy_count,patient_count,unknown_count
4533249,26322003.0,10.3389/fpsyg.2015.01198,"Default mode network alterations during implicit emotional faces processing in first-episode, treatment-naive major depression patients",Front Psychol,2015,http://creativecommons.org/licenses/by/4.0/,36.0,19.0,17.0,1,36.0,,
6006772,29914377.0,10.1186/s12868-018-0435-y,Neural correlates of free recall of “famous events” in a “hypermnestic” individual as compared to an age- and education-matched reference group,BMC Neurosci,2018,http://creativecommons.org/licenses/by/4.0/,10.0,,,1,,,10.0
3543360,23326484.0,10.1371/journal.pone.0053677,Altered Effective Connectivity Network of the Basal Ganglia in Low-Grade Hepatic Encephalopathy: A Resting-State fMRI Study with Granger Causality Analysis,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/,70.0,14.0,56.0,2,35.0,35.0,
6545793,31191371.0,10.3389/fpsyt.2019.00357,Enhanced Processing of Painful Emotions in Patients With Borderline Personality Disorder: A Functional Magnetic Resonance Imaging Study,Front Psychiatry,2019,http://creativecommons.org/licenses/by/4.0/,39.0,,,2,19.0,20.0,
3667546,23750133.0,10.3389/fnhum.2013.00228,Prefrontal inhibition of threat processing reduces working memory interference,Front Hum Neurosci,2013,http://creativecommons.org/licenses/by/3.0/,18.0,,,1,,,18.0
7440179,32832578.0,10.4172/2329-9096.1000254,Effectiveness of Semantic Encoding Strategy Training after Traumatic Brain Injury is Correlated with Frontal Brain Activation Change,Int J Phys Med Rehabil,2015,http://creativecommons.org/licenses/by/4.0/,9.0,2.0,7.0,1,,,9.0
4395363,25875640.0,10.1371/journal.pone.0123073,"Reward Sensitivity Modulates Brain Activity in the Prefrontal Cortex, ACC and Striatum during Task Switching",PLoS One,2015,http://creativecommons.org/licenses/by/4.0/,28.0,15.0,13.0,1,28.0,,
4761650,26955513.0,10.1016/j.nicl.2016.01.021,"Characterizing “fibrofog”: Subjective appraisal, objective performance, and task-related brain activity during a working memory task",Neuroimage Clin,2016,http://creativecommons.org/licenses/by-nc-nd/4.0/,29.0,,,2,13.0,16.0,
5472149,28338716.0,10.1093/scan/nsx022,Neurological evidence for the role of construal level in future-directed thought,Soc Cogn Affect Neurosci,2017,http://creativecommons.org/licenses/by-nc/4.0/,30.0,21.0,9.0,1,,,30.0
2526014,18958233.0,10.3389/neuro.07.005.2007,Bimanual Passive Movement: Functional Activation and Inter-Regional Coupling,Front Integr Neurosci,2007,http://www.frontiersin.org/licenseagreement,12.0,6.0,6.0,1,12.0,,
