pmcid,n_participants
5734798,36.0
7174551,
4617870,21.0
7141501,
6771995,36.0
5169030,16.0
3709103,30.0
7399345,107.0
3797966,2.0
3734350,15.0
8202596,68.0
6218594,
3526643,
2774401,18.0
3317669,
6044349,23.0
5149687,47.0
6327084,
8517223,62.0
4837161,
5214699,22.0
5516603,20.0
8386837,
4768083,0.0
4793190,5.0
4303944,
5655301,3.0
6734224,66.0
3430553,684.0
7664275,83.0
6581730,50.0
5481872,12.0
7518236,56.0
4630252,2.0
3648477,18.0
8049294,
6538859,
5409184,36.0
4468611,
4454696,
4110030,
5012952,68.0
7268054,50.0
2241626,13.0
3426773,
5550713,21.0
4389056,50.0
2515912,14.0
8586526,48.0
5437955,5.0
7565338,36.0
7759208,
8635729,
7693553,
5253253,
5114586,60.0
2691152,
5780425,27.0
3280593,16.0
5153599,
6869572,20.0
3790692,22.0
4447998,45.0
6925270,
4153805,18.0
3960105,
5121279,2.0
8334552,49.0
6001468,11.0
5200881,
2712682,19.0
7732671,15.0
3277937,19.0
3502445,18.0
3923398,
4466596,20.0
5596304,
3311856,20.0
5428464,
8458622,20.0
6442313,
7025481,
8542047,45.0
3285192,20.0
2880799,
7990071,
4327308,
6851803,64.0
4428138,20.0
4153812,33.0
6463125,
7550687,30.0
4644722,
7776006,81.0
8288082,
3930113,23.0
3099099,
3798923,
6234282,
7555084,
5108928,11.0
7761916,30.0
8096549,29.0
6127030,
3865769,3.0
5550544,
5595153,9.0
5129700,15.0
1373642,
8415788,52.0
3411427,
8671790,
4097354,
8267913,53.0
6543172,
5008218,
3777717,97.0
5679722,36.0
5545730,23.0
3756065,14.0
6302005,14.0
5317330,51.0
4549134,
4472024,
4179768,20.0
8773965,40.0
3130679,
5946243,
6197328,49.0
3753572,
3701866,51.0
4261631,92.0
6863958,48.0
6224336,54.0
6504693,29.0
8384177,39.0
3914330,40.0
4724692,
4263085,15.0
3784399,23.0
6168704,10.0
7363473,20.0
4745181,19.0
2724104,1.0
4555067,36.0
8789908,11.0
8710777,
5093128,
5887003,18.0
4783046,20.0
6492455,
6739688,41.0
6915079,
3538957,18.0
6508045,
6389990,
5385589,51.0
8612469,28.0
3500241,12.0
5395570,
7287276,
6971823,50.0
3204998,2.0
4237381,39.0
6329283,16.0
5241989,24.0
4139362,65.0
3557415,
4458689,48.0
6943404,30.0
4487721,28.0
4731574,
5286415,18.0
6544008,
6473038,32.0
7695184,50.0
5576914,
3957420,
7901489,96.0
4950574,20.0
3830070,
6374601,2.0
8526554,18.0
3389385,48.0
2877098,20.0
5486584,10.0
6030991,
5519569,
8079712,15.0
6018085,70.0
6423124,
7915060,23.0
6031869,34.0
7181059,
4486123,14.0
7886792,87.0
4911044,
5856411,
2647336,
5256117,1.0
3069547,22.0
7859281,357.0
8024914,
3146896,13.0
6028523,32.0
4700985,
8210850,
6879998,39.0
4423353,
8545809,88.0
4306101,20.0
7075880,
4160172,14.0
7090023,3.0
4923251,18.0
3101377,2.0
5504124,
6869357,
5651543,
6703901,90.0
4676166,
4536089,
6084015,67.0
3969513,15.0
5583150,20.0
5445372,43.0
7982814,
8477670,41.0
3949688,29.0
7756088,60.0
4510264,40.0
8369943,30.0
4832096,
3546317,25.0
4104834,
7718881,
7863325,40.0
6914439,96.0
7053268,63.0
5277003,143.0
4372361,20.0
3807502,42.0
2999982,27.0
8129561,
3912127,69.0
8859266,64.0
3640070,
7693576,
3814956,
6283978,4.0
5741645,27.0
5374197,
4905965,20.0
3459703,
5928127,13.0
4556707,
4048154,12.0
3655975,46.0
4584065,36.0
5423613,38.0
5578968,40.0
4236576,
3798761,19.0
5872590,20.0
7240193,
6554427,
7785814,2.0
2518618,12.0
3624952,24.0
8291150,
3585713,
3396380,3.0
8417257,41.0
4911046,
8548365,19.0
6885594,26.0
4712932,
5050502,41.0
3884128,40.0
4133376,12.0
4512184,
3338535,
3377932,56.0
5490684,29.0
4370397,18.0
5766638,
6589258,64.0
3378082,
3696724,
7882180,34.0
6584748,176.0
5861186,16.0
7608673,279.0
3265182,21.0
8233387,
5428665,13.0
5732236,
7416026,76.0
3828508,
5095112,43.0
7416928,
7573621,
4713423,
6718876,24.0
8065419,
3657626,
4460889,34.0
6264830,15.0
4911362,
7977480,39.0
3900530,
8904428,28.0
7253675,25.0
3743067,
5138827,
8776336,71.0
4810460,39.0
7490914,
3759853,41.0
5814051,30.0
8422162,18.0
3674317,
7242759,11.0
3961291,11.0
5624616,
7179339,2.0
7344192,106.0
5159433,
5500479,
8375680,
3728072,36.0
3812906,30.0
7901965,2.0
5390728,45.0
4706123,
6133549,
4823302,
3536813,
2694675,
3913830,45.0
3448611,
7749513,
4061265,11.0
3506550,
4018561,
6851020,
8357001,
5015972,40.0
3446947,
3777786,
8160303,96.0
6591689,112.0
3907682,298.0
6362490,
3888398,
7960059,28.0
7868384,
8047070,
8393360,98.0
8652044,43.0
5002985,19.0
7292263,26.0
6072647,
2713432,46.0
5638238,
8566670,2.0
3927705,
4515536,25.0
6934617,46.0
2769551,16.0
3182987,15.0
4270260,7.0
7509111,60.0
8330842,
8233416,52.0
5353703,4.0
3480647,1.0
7264824,46.0
7568140,81.0
3641096,
4987329,15.0
